,time_min,cgm,insulin_U,meal_g
1807,1807.0,137.284,0.0203965,0.0
1808,1808.0,138.074,0.0203965,0.0
1809,1809.0,138.756,0.0203965,0.0
1810,1810.0,139.329,0.0203965,0.0
1811,1811.0,139.795,0.0203965,0.0
1812,1812.0,140.152,0.0203965,0.0
1813,1813.0,140.401,0.0203965,0.0
1814,1814.0,140.541,0.0203965,0.0
1815,1815.0,140.574,0.0203965,0.0
1816,1816.0,140.592,0.0203965,0.0
1817,1817.0,140.595,0.0203965,0.0
1818,1818.0,140.585,0.0203965,0.0
1819,1819.0,140.56,0.0203965,0.0
1820,1820.0,140.52,0.0203965,0.0
1821,1821.0,140.467,0.0203965,0.0
1822,1822.0,140.399,0.0203965,0.0
1823,1823.0,140.316,0.0203965,0.0
1824,1824.0,140.22,0.0203965,0.0
1825,1825.0,140.109,0.0203965,0.0
1826,1826.0,139.983,0.0203965,0.0
1827,1827.0,139.843,0.0203965,0.0
1828,1828.0,139.689,0.0203965,0.0
1829,1829.0,139.521,0.0203965,0.0
1830,1830.0,139.338,0.0203965,0.0
1831,1831.0,139.218,0.0203965,0.0
1832,1832.0,139.162,0.0203965,0.0
1833,1833.0,139.168,0.0203965,0.0
1834,1834.0,139.238,0.0203965,0.0
1835,1835.0,139.372,0.0203965,0.0
1836,1836.0,139.568,0.0203965,0.0
1837,1837.0,139.828,0.0203965,0.0
1838,1838.0,140.151,0.0203965,0.0
1839,1839.0,140.537,0.0203965,0.0
1840,1840.0,140.986,0.0203965,0.0
1841,1841.0,141.499,0.0203965,0.0
1842,1842.0,142.075,0.0203965,0.0
1843,1843.0,142.714,0.0203965,0.0
1844,1844.0,143.416,0.0203965,0.0
1845,1845.0,144.181,0.0203965,0.0
1846,1846.0,144.891,0.0203965,0.0
1847,1847.0,145.546,0.0203965,0.0
1848,1848.0,146.146,0.0203965,0.0
1849,1849.0,146.69,0.0203965,0.0
1850,1850.0,147.179,0.0203965,0.0
1851,1851.0,147.613,0.0203965,0.0
1852,1852.0,147.991,0.0203965,0.0
1853,1853.0,148.314,0.0203965,0.0
1854,1854.0,148.582,0.0203965,0.0
1855,1855.0,148.794,0.0203965,0.0
1856,1856.0,148.951,0.0203965,0.0
1857,1857.0,149.053,0.0203965,0.0
1858,1858.0,149.1,0.0203965,0.0
1859,1859.0,149.091,0.0203965,0.0
1860,1860.0,149.027,0.0203965,0.0
1861,1861.0,148.93,0.0203965,0.0
1862,1862.0,148.8,0.0203965,0.0
1863,1863.0,148.637,0.0203965,0.0
1864,1864.0,148.442,0.0203965,0.0
1865,1865.0,148.213,0.0203965,0.0
1866,1866.0,147.952,0.0203965,0.0
1867,1867.0,147.658,0.0203965,0.0
1868,1868.0,147.331,0.0203965,0.0
1869,1869.0,146.972,0.0203965,0.0
